Name,BlockId,Col,Row,Name1,Name2,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Drug,DrugNum,Average,Dist,Inflection,Neighbor,MedianEffect,count,min,max,Experiment
Topotecan hydrochloride_2,3,10,9,Tazemetostat_1,Topotecan hydrochloride_2,0,0.039062,NA,1,0.549388543466392,0.450611456533608,0.549388543466392,0.820205411802827,0.039062,2,0.549388543466392,0.0493885434663924,2,0,TRUE,5,0.039062,0.3125,EOL1_ASSAY_ID_10946
Topotecan hydrochloride_2,3,10,8,Tazemetostat_1,Topotecan hydrochloride_2,0,0.078125,NA,1,0.166428673589467,0.833571326410533,0.166428673589467,5.00858000266661,0.078125,2,0.166428673589467,0.333571326410533,2,-1,TRUE,5,0.039062,0.3125,EOL1_ASSAY_ID_10946
Topotecan hydrochloride_2,3,10,7,Tazemetostat_1,Topotecan hydrochloride_2,0,0.15625,NA,1,0.0304814505245151,0.969518549475485,0.0304814505245151,31.8068376928368,0.15625,2,0.0304814505245151,0.469518549475485,2,-2,TRUE,5,0.039062,0.3125,EOL1_ASSAY_ID_10946
Topotecan hydrochloride_2,3,10,6,Tazemetostat_1,Topotecan hydrochloride_2,0,0.3125,NA,1,0.0251034676839099,0.97489653231609,0.0251034676839099,38.8351340377151,0.3125,2,0.0251034676839099,0.47489653231609,2,-3,TRUE,5,0.039062,0.3125,EOL1_ASSAY_ID_10946
Doxorubicin_2,4,10,10,Tazemetostat_1,Doxorubicin_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.0390625,2,0.9999,0.4999,2,1,TRUE,5,0.078125,0.625,EOL1_ASSAY_ID_10946
Doxorubicin_2,4,10,9,Tazemetostat_1,Doxorubicin_2,0,0.078125,NA,1,0.279431650134389,0.720568349865611,0.279431650134389,2.57869267679256,0.078125,2,0.279431650134389,0.220568349865611,2,0,TRUE,5,0.078125,0.625,EOL1_ASSAY_ID_10946
Doxorubicin_2,4,10,8,Tazemetostat_1,Doxorubicin_2,0,0.15625,NA,1,0.144165469721031,0.855834530278969,0.144165469721031,5.93647377513535,0.15625,2,0.144165469721031,0.355834530278969,2,-1,TRUE,5,0.078125,0.625,EOL1_ASSAY_ID_10946
Doxorubicin_2,4,10,7,Tazemetostat_1,Doxorubicin_2,0,0.3125,NA,1,0.0878477135973168,0.912152286402683,0.0878477135973168,10.3833355365841,0.3125,2,0.0878477135973168,0.412152286402683,2,-2,TRUE,5,0.078125,0.625,EOL1_ASSAY_ID_10946
Doxorubicin_2,4,10,6,Tazemetostat_1,Doxorubicin_2,0,0.625,NA,1,0.0506581560553208,0.949341843944679,0.0506581560553208,18.7401579107609,0.625,2,0.0506581560553208,0.449341843944679,2,-3,TRUE,5,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,4,10,10,Tazemetostat_1,Doxorubicin_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,10,9,NA,5,1.25,20,EOL1_ASSAY_ID_10946
