Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,Topotecan hydrochloride_2,3,10,6,0.625,0.3125,NA,1,0.0251034676839099,0.97489653231609,0.0251034676839099,38.8351340377151,Topotecan hydrochloride_2,0.3125,2,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,10,0.625,0.0390625,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Doxorubicin_2,0,2,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,9,0.625,0.078125,NA,1,0.279431650134389,0.720568349865611,0.279431650134389,2.57869267679256,Doxorubicin_2,0.078125,2,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,8,0.625,0.15625,NA,1,0.144165469721031,0.855834530278969,0.144165469721031,5.93647377513535,Doxorubicin_2,0.15625,2,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,7,0.625,0.3125,NA,1,0.0878477135973168,0.912152286402683,0.0878477135973168,10.3833355365841,Doxorubicin_2,0.3125,2,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,6,0.625,0.625,NA,1,0.0506581560553208,0.949341843944679,0.0506581560553208,18.7401579107609,Doxorubicin_2,0.625,2,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,10,10,0.625,0.0390625,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,5,10,1.25,0.0390625,NA,1,0.95342266379831,0.0465773362016898,0.95342266379831,0.048852768001268,Tazemetostat_1,1.25,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,4,10,2.5,0.0390625,NA,1,0.969519849068562,0.0304801509314383,0.969519849068562,0.0314383980490149,Tazemetostat_1,2.5,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,3,10,5,0.0390625,NA,1,0.948739809776417,0.0512601902235829,0.948739809776417,0.0540297663230375,Tazemetostat_1,5,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,2,10,10,0.0390625,NA,1,0.839953350846482,0.160046649153518,0.839953350846482,0.190542306893862,Tazemetostat_1,10,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,4,1,10,20,0.0390625,NA,1,0.76638197378401,0.23361802621599,0.76638197378401,0.304832360634086,Tazemetostat_1,20,1,1.25,20,0.078125,0.625,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,10,0.625,0.078125,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,JQ1_2,0,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,6,0.625,0.15625,NA,1,0.99,0.01,0.99,0.0101010101010101,JQ1_2,0.15625,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,5,0.625,0.3125,NA,1,0.821973614961313,0.178026385038687,0.821973614961313,0.216584062795089,JQ1_2,0.3125,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,4,0.625,0.625,NA,1,0.509694899050705,0.490305100949295,0.509694899050705,0.961958029916481,JQ1_2,0.625,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,3,0.625,1.25,NA,1,0.205426712136731,0.794573287863269,0.205426712136731,3.86791610301587,JQ1_2,1.25,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,2,0.625,2.5,NA,1,0.0595379122114531,0.940462087788547,0.0595379122114531,15.7960206002594,JQ1_2,2.5,2,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,10,10,0.625,0.078125,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,5,10,1.25,0.078125,NA,1,0.889027893528542,0.110972106471458,0.889027893528542,0.124824099760257,Tazemetostat_1,1.25,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
